Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.9146005509641874,0.902542372881356,0.9638009049773756,0.9321663019693655
Basic Random Forest,0.9159779614325069,0.8977035490605428,0.9728506787330317,0.9337676438653637
Gradient Boosting,0.9118457300275482,0.895397489539749,0.9683257918552036,0.9304347826086956
Tuned Random Forest,0.9090909090909091,0.8868312757201646,0.9751131221719457,0.9288793103448276
